series_id,year,period,value,footnote_codes
Wood product manufacturing,2012.0,M09,115.0,
,,,,
Wood product manufacturing,2012.0,M10,113.7,
,,,,
Wood product manufacturing,2012.0,M11,115.3,
,,,,
Wood product manufacturing,2012.0,M12,116.2,
,,,,
Wood product manufacturing,2012.0,M13,112.9,
,,,,
Wood product manufacturing,2013.0,M01,118.7,
,,,,
Wood product manufacturing,2013.0,M02,120.4,
,,,,
Wood product manufacturing,2013.0,M03,122.3,
,,,,
Wood product manufacturing,2013.0,M04,123.4,
,,,,
Wood product manufacturing,2013.0,M05,121.6,
,,,,
Wood product manufacturing,2013.0,M06,120.1,
,,,,
Wood product manufacturing,2013.0,M07,119.0,
,,,,
Wood product manufacturing,2013.0,M08,119.9,
,,,,
Wood product manufacturing,2013.0,M09,120.1,
,,,,
Wood product manufacturing,2013.0,M10,121.0,
,,,,
Wood product manufacturing,2013.0,M11,121.6,
,,,,
Wood product manufacturing,2013.0,M12,121.8,
,,,,
Wood product manufacturing,2013.0,M13,120.8,
,,,,
Wood product manufacturing,2014.0,M01,123.0,
,,,,
Wood product manufacturing,2014.0,M02,124.1,
,,,,
Wood product manufacturing,2014.0,M03,124.9,
,,,,
Wood product manufacturing,2014.0,M04,124.8,
,,,,
Wood product manufacturing,2014.0,M05,125.6,
,,,,
Wood product manufacturing,2014.0,M06,125.6,
,,,,
Wood product manufacturing,2014.0,M07,125.9,
,,,,
Wood product manufacturing,2014.0,M08,126.5,
,,,,
Wood product manufacturing,2014.0,M09,126.8,
,,,,
Wood product manufacturing,2014.0,M10,126.4,
,,,,
Wood product manufacturing,2014.0,M11,126.1,
,,,,
Wood product manufacturing,2014.0,M12,125.8,
,,,,
Wood product manufacturing,2014.0,M13,125.5,
,,,,
Wood product manufacturing,2015.0,M01,126.0,
,,,,
Wood product manufacturing,2015.0,M02,125.7,
,,,,
Wood product manufacturing,2015.0,M03,125.3,
,,,,
Wood product manufacturing,2015.0,M04,125.3,
,,,,
Wood product manufacturing,2015.0,M05,124.4,
,,,,
Wood product manufacturing,2015.0,M06,124.3,
,,,,
Wood product manufacturing,2015.0,M07,124.3,
,,,,
Wood product manufacturing,2015.0,M08,123.6,
,,,,
Wood product manufacturing,2015.0,M09,123.0,
,,,,
Wood product manufacturing,2015.0,M10,123.5,
,,,,
Wood product manufacturing,2015.0,M11,124.3,
,,,,
Wood product manufacturing,2015.0,M12,123.8,
,,,,
Wood product manufacturing,2015.0,M13,124.5,
,,,,
Wood product manufacturing,2016.0,M01,123.8,
,,,,
Wood product manufacturing,2016.0,M02,123.6,
,,,,
Wood product manufacturing,2016.0,M03,124.4,
,,,,
Wood product manufacturing,2016.0,M04,125.2,
,,,,
Wood product manufacturing,2016.0,M05,125.7,
,,,,
Wood product manufacturing,2016.0,M06,125.9,
,,,,
Wood product manufacturing,2016.0,M07,126.2,
,,,,
Wood product manufacturing,2016.0,M08,126.8,
,,,,
Wood product manufacturing,2016.0,M09,126.4,
,,,,
Wood product manufacturing,2016.0,M10,126.3,
,,,,
Wood product manufacturing,2016.0,M11,126.0,
,,,,
Wood product manufacturing,2016.0,M12,126.1,
,,,,
Wood product manufacturing,2016.0,M13,125.5,
,,,,
Wood product manufacturing,2017.0,M01,126.3,
,,,,
Wood product manufacturing,2017.0,M02,127.7,
,,,,
Wood product manufacturing,2017.0,M03,128.8,
,,,,
Wood product manufacturing,2017.0,M04,130.0,
,,,,
Wood product manufacturing,2017.0,M05,130.9,
,,,,
Wood product manufacturing,2017.0,M06,130.4,
,,,,
Wood product manufacturing,2017.0,M07,130.7,
,,,,
Wood product manufacturing,2017.0,M08,131.8,
,,,,
Wood product manufacturing,2017.0,M09,132.1,
,,,,
Wood product manufacturing,2017.0,M10,134.1,
,,,,
Wood product manufacturing,2017.0,M11,134.1,
,,,,
Wood product manufacturing,2017.0,M12,133.5,
,,,,
Wood product manufacturing,2017.0,M13,130.9,
,,,,
Wood product manufacturing,2018.0,M01,134.3,
,,,,
Wood product manufacturing,2018.0,M02,137.6,
,,,,
Wood product manufacturing,2018.0,M03,139.7,
,,,,
Wood product manufacturing,2018.0,M04,140.3,
,,,,
Wood product manufacturing,2018.0,M05,143.2,
,,,,
Wood product manufacturing,2018.0,M06,145.5,
,,,,
Wood product manufacturing,2018.0,M07,144.2,
,,,,
Wood product manufacturing,2018.0,M08,140.5,
,,,,
Wood product manufacturing,2018.0,M09,139.9,
,,,,
Wood product manufacturing,2018.0,M10,137.6,
,,,,
Wood product manufacturing,2018.0,M11,135.6,
,,,,
Wood product manufacturing,2018.0,M12,135.4,
,,,,
Wood product manufacturing,2018.0,M13,139.5,
,,,,
Wood product manufacturing,2019.0,M01,135.5,
,,,,
Wood product manufacturing,2019.0,M02,136.8,
,,,,
Wood product manufacturing,2019.0,M03,136.9,
,,,,
Wood product manufacturing,2019.0,M04,137.6,
,,,,
Wood product manufacturing,2019.0,M05,137.1,
,,,,
Wood product manufacturing,2019.0,M06,135.9,P
,,,,
Wood product manufacturing,2019.0,M07,135.3,P
,,,,
Wood product manufacturing,2019.0,M08,135.2,P
,,,,
Wood product manufacturing,2019.0,M09,135.2,P
,,,,
Sawmills and wood preservation,2003.0,M12,100.0,
,,,,
Sawmills and wood preservation,2004.0,M01,100.8,
,,,,
Sawmills and wood preservation,2004.0,M02,104.3,
,,,,
Sawmills and wood preservation,2004.0,M03,109.0,
,,,,
Sawmills and wood preservation,2004.0,M04,112.4,
,,,,
Sawmills and wood preservation,2004.0,M05,116.3,
,,,,
Sawmills and wood preservation,2004.0,M06,113.4,
,,,,
Sawmills and wood preservation,2004.0,M07,112.7,
,,,,
Sawmills and wood preservation,2004.0,M08,117.4,
,,,,
Sawmills and wood preservation,2004.0,M09,116.9,
,,,,
Sawmills and wood preservation,2004.0,M10,110.9,
,,,,
Sawmills and wood preservation,2004.0,M11,105.8,
,,,,
Sawmills and wood preservation,2004.0,M12,106.4,
,,,,
Sawmills and wood preservation,2004.0,M13,110.5,
,,,,
Sawmills and wood preservation,2005.0,M01,107.8,
,,,,
Sawmills and wood preservation,2005.0,M02,112.0,
,,,,
Sawmills and wood preservation,2005.0,M03,112.8,
,,,,
Sawmills and wood preservation,2005.0,M04,112.6,
,,,,
Sawmills and wood preservation,2005.0,M05,110.3,
,,,,
Sawmills and wood preservation,2005.0,M06,113.8,
,,,,
Sawmills and wood preservation,2005.0,M07,112.0,
,,,,
Sawmills and wood preservation,2005.0,M08,110.1,
,,,,
Sawmills and wood preservation,2005.0,M09,111.4,
,,,,
Sawmills and wood preservation,2005.0,M10,110.2,
,,,,
Sawmills and wood preservation,2005.0,M11,107.4,
,,,,
Sawmills and wood preservation,2005.0,M12,108.6,
,,,,
Sawmills and wood preservation,2005.0,M13,110.7,
,,,,
Sawmills and wood preservation,2006.0,M01,111.6,
,,,,
Sawmills and wood preservation,2006.0,M02,112.9,
,,,,
Sawmills and wood preservation,2006.0,M03,113.2,
,,,,
Sawmills and wood preservation,2006.0,M04,112.5,
,,,,
Sawmills and wood preservation,2006.0,M05,114.2,
,,,,
Sawmills and wood preservation,2006.0,M06,109.6,
,,,,
Sawmills and wood preservation,2006.0,M07,107.2,
,,,,
Sawmills and wood preservation,2006.0,M08,104.3,
,,,,
Sawmills and wood preservation,2006.0,M09,105.0,
,,,,
Sawmills and wood preservation,2006.0,M10,100.9,
,,,,
Sawmills and wood preservation,2006.0,M11,101.1,
,,,,
Sawmills and wood preservation,2006.0,M12,102.3,
,,,,
Sawmills and wood preservation,2006.0,M13,107.9,
,,,,
Sawmills and wood preservation,2007.0,M01,105.5,
,,,,
Sawmills and wood preservation,2007.0,M02,105.3,
,,,,
Sawmills and wood preservation,2007.0,M03,105.8,
,,,,
Sawmills and wood preservation,2007.0,M04,105.3,
,,,,
Sawmills and wood preservation,2007.0,M05,104.8,
,,,,
Sawmills and wood preservation,2007.0,M06,105.4,
,,,,
Sawmills and wood preservation,2007.0,M07,107.1,
,,,,
Sawmills and wood preservation,2007.0,M08,104.8,
,,,,
Sawmills and wood preservation,2007.0,M09,102.8,
,,,,
Sawmills and wood preservation,2007.0,M10,101.2,
,,,,
Sawmills and wood preservation,2007.0,M11,99.0,
,,,,
Sawmills and wood preservation,2007.0,M12,98.7,
,,,,
Sawmills and wood preservation,2007.0,M13,103.8,
,,,,
Sawmills and wood preservation,2008.0,M01,97.6,
,,,,
Sawmills and wood preservation,2008.0,M02,96.9,
,,,,
Sawmills and wood preservation,2008.0,M03,97.4,
,,,,
Sawmills and wood preservation,2008.0,M04,98.2,
,,,,
Sawmills and wood preservation,2008.0,M05,103.4,
,,,,
Sawmills and wood preservation,2008.0,M06,104.5,
,,,,
Sawmills and wood preservation,2008.0,M07,102.9,
,,,,
Sawmills and wood preservation,2008.0,M08,103.0,
,,,,
Sawmills and wood preservation,2008.0,M09,101.9,
,,,,
Sawmills and wood preservation,2008.0,M10,97.0,
,,,,
Sawmills and wood preservation,2008.0,M11,94.9,
,,,,
Sawmills and wood preservation,2008.0,M12,94.1,
,,,,
Sawmills and wood preservation,2008.0,M13,99.3,
,,,,
Sawmills and wood preservation,2009.0,M01,90.3,
,,,,
Sawmills and wood preservation,2009.0,M02,88.0,
,,,,
Sawmills and wood preservation,2009.0,M03,86.4,
,,,,
Sawmills and wood preservation,2009.0,M04,86.2,
,,,,
Sawmills and wood preservation,2009.0,M05,85.6,
,,,,
Sawmills and wood preservation,2009.0,M06,85.8,
,,,,
Sawmills and wood preservation,2009.0,M07,89.6,
,,,,
Sawmills and wood preservation,2009.0,M08,89.6,
,,,,
Sawmills and wood preservation,2009.0,M09,90.5,
,,,,
Sawmills and wood preservation,2009.0,M10,89.6,
,,,,
Sawmills and wood preservation,2009.0,M11,90.8,
,,,,
Sawmills and wood preservation,2009.0,M12,92.0,
,,,,
Sawmills and wood preservation,2009.0,M13,88.7,
,,,,
Sawmills and wood preservation,2010.0,M01,92.4,
,,,,
Sawmills and wood preservation,2010.0,M02,97.8,
,,,,
Sawmills and wood preservation,2010.0,M03,99.7,
,,,,
Sawmills and wood preservation,2010.0,M04,103.7,
,,,,
Sawmills and wood preservation,2010.0,M05,106.6,
,,,,
Sawmills and wood preservation,2010.0,M06,100.0,
,,,,
