series_id,year,period,value,footnote_codes
Mining (except oil & gas),2013,M09,219.6,
Mining (except oil & gas),2013,M10,217.6,
Mining (except oil & gas),2013,M11,219.5,
Mining (except oil & gas),2013,M12,218.7,
Mining (except oil & gas),2013,M13,221.9,
Mining (except oil & gas),2014,M01,219.6,
Mining (except oil & gas),2014,M02,216.9,
Mining (except oil & gas),2014,M03,219.6,
Mining (except oil & gas),2014,M04,219.3,
Mining (except oil & gas),2014,M05,220.3,
Mining (except oil & gas),2014,M06,219.5,
Mining (except oil & gas),2014,M07,219.2,
Mining (except oil & gas),2014,M08,218.0,
Mining (except oil & gas),2014,M09,217.2,
Mining (except oil & gas),2014,M10,215.2,
Mining (except oil & gas),2014,M11,214.6,
Mining (except oil & gas),2014,M12,214.7,
Mining (except oil & gas),2014,M13,217.8,
Mining (except oil & gas),2015,M01,214.9,
Mining (except oil & gas),2015,M02,213.3,
Mining (except oil & gas),2015,M03,215.2,
Mining (except oil & gas),2015,M04,214.8,
Mining (except oil & gas),2015,M05,216.4,
Mining (except oil & gas),2015,M06,214.4,
Mining (except oil & gas),2015,M07,209.9,
Mining (except oil & gas),2015,M08,207.0,
Mining (except oil & gas),2015,M09,208.3,
Mining (except oil & gas),2015,M10,208.0,
Mining (except oil & gas),2015,M11,206.2,
Mining (except oil & gas),2015,M12,204.5,
Mining (except oil & gas),2015,M13,211.1,
Mining (except oil & gas),2016,M01,201.3,
Mining (except oil & gas),2016,M02,202.3,
Mining (except oil & gas),2016,M03,207.2,
Mining (except oil & gas),2016,M04,207.5,
Mining (except oil & gas),2016,M05,211.4,
Mining (except oil & gas),2016,M06,210.8,
Mining (except oil & gas),2016,M07,211.2,
Mining (except oil & gas),2016,M08,211.3,
Mining (except oil & gas),2016,M09,209.7,
Mining (except oil & gas),2016,M10,210.0,
Mining (except oil & gas),2016,M11,211.8,
Mining (except oil & gas),2016,M12,212.8,
Mining (except oil & gas),2016,M13,208.9,
Mining (except oil & gas),2017,M01,218.3,
Mining (except oil & gas),2017,M02,217.8,
Mining (except oil & gas),2017,M03,217.5,
Mining (except oil & gas),2017,M04,219.8,
Mining (except oil & gas),2017,M05,218.4,
Mining (except oil & gas),2017,M06,218.8,
Mining (except oil & gas),2017,M07,219.3,
Mining (except oil & gas),2017,M08,221.3,
Mining (except oil & gas),2017,M09,224.2,
Mining (except oil & gas),2017,M10,224.2,
Mining (except oil & gas),2017,M11,224.3,
Mining (except oil & gas),2017,M12,224.3,
Mining (except oil & gas),2017,M13,220.7,
Mining (except oil & gas),2018,M01,227.3,
Mining (except oil & gas),2018,M02,228.0,
Mining (except oil & gas),2018,M03,228.2,
Mining (except oil & gas),2018,M04,228.0,
Mining (except oil & gas),2018,M05,229.5,
Mining (except oil & gas),2018,M06,230.0,
Mining (except oil & gas),2018,M07,227.1,
Mining (except oil & gas),2018,M08,223.1,
Mining (except oil & gas),2018,M09,223.5,
Mining (except oil & gas),2018,M10,226.0,
Mining (except oil & gas),2018,M11,225.5,
Mining (except oil & gas),2018,M12,227.4,
Mining (except oil & gas),2018,M13,227.0,
Mining (except oil & gas),2019,M01,230.5,
Mining (except oil & gas),2019,M02,231.0,
Mining (except oil & gas),2019,M03,232.7,
Mining (except oil & gas),2019,M04,232.6,P
Mining (except oil & gas),2019,M05,230.5,P
Mining (except oil & gas),2019,M06,231.1,P
Mining (except oil & gas),2019,M07,233.3,P
Coal mining,1985,M12,100.0,
Coal mining,1986,M01,100.1,
Coal mining,1986,M02,99.7,
Coal mining,1986,M03,100.3,
Coal mining,1986,M04,99.9,
Coal mining,1986,M05,99.7,
Coal mining,1986,M06,99.6,
Coal mining,1986,M07,99.7,
Coal mining,1986,M08,99.4,
Coal mining,1986,M09,99.2,
Coal mining,1986,M10,99.2,
Coal mining,1986,M11,98.8,
Coal mining,1986,M12,98.7,
Coal mining,1986,M13,99.5,
Coal mining,1987,M01,98.5,
Coal mining,1987,M02,97.9,
Coal mining,1987,M03,97.7,
Coal mining,1987,M04,96.0,
Coal mining,1987,M05,95.7,
Coal mining,1987,M06,95.5,
Coal mining,1987,M07,95.1,
Coal mining,1987,M08,95.0,
Coal mining,1987,M09,94.7,
Coal mining,1987,M10,95.0,
Coal mining,1987,M11,95.6,
Coal mining,1987,M12,95.3,
Coal mining,1987,M13,96.0,
Coal mining,1988,M01,95.2,
Coal mining,1988,M02,95.5,
Coal mining,1988,M03,95.2,
Coal mining,1988,M04,94.6,
Coal mining,1988,M05,94.4,
Coal mining,1988,M06,94.5,
Coal mining,1988,M07,94.9,
Coal mining,1988,M08,94.1,
Coal mining,1988,M09,94.3,
Coal mining,1988,M10,94.4,
Coal mining,1988,M11,93.9,
Coal mining,1988,M12,93.9,
Coal mining,1988,M13,94.6,
Coal mining,1989,M01,93.8,
Coal mining,1989,M02,93.0,
Coal mining,1989,M03,92.9,
Coal mining,1989,M04,93.4,
Coal mining,1989,M05,93.9,
Coal mining,1989,M06,94.0,
Coal mining,1989,M07,94.7,
Coal mining,1989,M08,94.9,
Coal mining,1989,M09,94.7,
Coal mining,1989,M10,95.1,
Coal mining,1989,M11,96.1,
Coal mining,1989,M12,95.6,
Coal mining,1989,M13,94.3,
Coal mining,1990,M01,95.6,
Coal mining,1990,M02,95.2,
Coal mining,1990,M03,95.4,
Coal mining,1990,M04,96.0,
Coal mining,1990,M05,97.0,
Coal mining,1990,M06,97.0,
Coal mining,1990,M07,96.9,
Coal mining,1990,M08,96.1,
Coal mining,1990,M09,96.7,
Coal mining,1990,M10,97.0,
Coal mining,1990,M11,98.1,
Coal mining,1990,M12,96.8,
Coal mining,1990,M13,96.5,
Coal mining,1991,M01,97.5,
Coal mining,1991,M02,97.0,
Coal mining,1991,M03,96.7,
Coal mining,1991,M04,96.4,
Coal mining,1991,M05,96.3,
Coal mining,1991,M06,97.2,
Coal mining,1991,M07,96.3,
Coal mining,1991,M08,95.6,
Coal mining,1991,M09,95.6,
Coal mining,1991,M10,95.2,
Coal mining,1991,M11,96.2,
Coal mining,1991,M12,95.4,
Coal mining,1991,M13,96.3,
Coal mining,1992,M01,93.6,
Coal mining,1992,M02,93.8,
Coal mining,1992,M03,93.6,
Coal mining,1992,M04,94.1,
Coal mining,1992,M05,94.7,
Coal mining,1992,M06,94.4,
Coal mining,1992,M07,94.2,
Coal mining,1992,M08,94.2,
Coal mining,1992,M09,93.6,
Coal mining,1992,M10,93.9,
Coal mining,1992,M11,93.7,
Coal mining,1992,M12,94.1,
Coal mining,1992,M13,94.0,
Coal mining,1993,M01,93.0,
Coal mining,1993,M02,93.4,
Coal mining,1993,M03,93.2,
Coal mining,1993,M04,92.9,
Coal mining,1993,M05,92.7,
Coal mining,1993,M06,93.1,
Coal mining,1993,M07,92.9,
Coal mining,1993,M08,93.1,
Coal mining,1993,M09,93.2,
Coal mining,1993,M10,94.4,
Coal mining,1993,M11,94.1,
Coal mining,1993,M12,94.0,
Coal mining,1993,M13,93.3,
Coal mining,1994,M01,93.8,
Coal mining,1994,M02,92.5,
Coal mining,1994,M03,92.6,
Coal mining,1994,M04,93.0,
Coal mining,1994,M05,93.2,
Coal mining,1994,M06,92.0,
Coal mining,1994,M07,92.1,
Coal mining,1994,M08,92.7,
Coal mining,1994,M09,94.3,
Coal mining,1994,M10,95.0,
Coal mining,1994,M11,94.9,
Coal mining,1994,M12,92.0,
Coal mining,1994,M13,93.2,
Coal mining,1995,M01,88.4,
Coal mining,1995,M02,91.3,
Coal mining,1995,M03,93.7,
Coal mining,1995,M04,92.6,
Coal mining,1995,M05,90.4,
Coal mining,1995,M06,90.7,
Coal mining,1995,M07,92.5,
Coal mining,1995,M08,91.8,
Coal mining,1995,M09,91.7,
Coal mining,1995,M10,93.0,
Coal mining,1995,M11,91.4,
Coal mining,1995,M12,91.3,
Coal mining,1995,M13,91.6,
Coal mining,1996,M01,89.9,
Coal mining,1996,M02,91.9,
Coal mining,1996,M03,92.2,
Coal mining,1996,M04,91.1,
Coal mining,1996,M05,93.1,
Coal mining,1996,M06,91.7,
Coal mining,1996,M07,90.5,
Coal mining,1996,M08,92.6,
Coal mining,1996,M09,90.9,
Coal mining,1996,M10,90.5,
Coal mining,1996,M11,91.3,
Coal mining,1996,M12,90.7,
Coal mining,1996,M13,91.4,
Coal mining,1997,M01,92.9,
Coal mining,1997,M02,91.3,
Coal mining,1997,M03,92.8,
Coal mining,1997,M04,95.0,
Coal mining,1997,M05,91.7,
Coal mining,1997,M06,92.6,
Coal mining,1997,M07,91.5,
Coal mining,1997,M08,91.6,
Coal mining,1997,M09,91.9,
Coal mining,1997,M10,91.3,
Coal mining,1997,M11,91.0,
Coal mining,1997,M12,93.2,
Coal mining,1997,M13,92.2,
Coal mining,1998,M01,88.2,
Coal mining,1998,M02,90.2,
Coal mining,1998,M03,89.7,
Coal mining,1998,M04,90.7,
Coal mining,1998,M05,90.2,
Coal mining,1998,M06,90.2,
Coal mining,1998,M07,89.9,
Coal mining,1998,M08,87.6,
Coal mining,1998,M09,87.3,
Coal mining,1998,M10,88.8,
Coal mining,1998,M11,89.6,
Coal mining,1998,M12,91.4,
Coal mining,1998,M13,89.5,
Coal mining,1999,M01,85.5,
Coal mining,1999,M02,89.2,
Coal mining,1999,M03,89.3,
Coal mining,1999,M04,89.9,
Coal mining,1999,M05,87.8,
Coal mining,1999,M06,88.2,
Coal mining,1999,M07,86.9,
Coal mining,1999,M08,86.9,
Coal mining,1999,M09,85.9,
Coal mining,1999,M10,86.0,
Coal mining,1999,M11,86.1,
Coal mining,1999,M12,85.4,
Coal mining,1999,M13,87.3,
Coal mining,2000,M01,85.3,
Coal mining,2000,M02,84.7,
Coal mining,2000,M03,84.8,
Coal mining,2000,M04,85.9,
Coal mining,2000,M05,86.1,
Coal mining,2000,M06,85.1,
Coal mining,2000,M07,85.6,
Coal mining,2000,M08,83.3,
Coal mining,2000,M09,83.5,
Coal mining,2000,M10,83.6,
Coal mining,2000,M11,84.1,
Coal mining,2000,M12,85.1,
Coal mining,2000,M13,84.8,
Coal mining,2001,M01,84.3,
Coal mining,2001,M02,90.1,
Coal mining,2001,M03,89.5,
Coal mining,2001,M04,90.9,
Coal mining,2001,M05,93.8,
Coal mining,2001,M06,89.6,
Coal mining,2001,M07,92.8,
Coal mining,2001,M08,92.0,
Coal mining,2001,M09,92.1,
Coal mining,2001,M10,92.9,
Coal mining,2001,M11,95.4,
Coal mining,2001,M12,92.5,
Coal mining,2001,M13,91.3,
Coal mining,2002,M01,95.3,
Coal mining,2002,M02,94.5,
Coal mining,2002,M03,94.6,
Coal mining,2002,M04,94.4,
Coal mining,2002,M05,94.4,
Coal mining,2002,M06,93.7,
Coal mining,2002,M07,93.9,
Coal mining,2002,M08,93.4,
Coal mining,2002,M09,92.8,
Coal mining,2002,M10,93.4,
Coal mining,2002,M11,93.6,
Coal mining,2002,M12,93.1,
Coal mining,2002,M13,93.9,
Coal mining,2003,M01,93.2,
Coal mining,2003,M02,93.4,
Coal mining,2003,M03,93.7,
Coal mining,2003,M04,94.8,
Coal mining,2003,M05,94.6,
Coal mining,2003,M06,94.4,
Coal mining,2003,M07,94.0,
Coal mining,2003,M08,94.1,
Coal mining,2003,M09,94.7,
Coal mining,2003,M10,95.0,
Coal mining,2003,M11,95.2,
Coal mining,2003,M12,95.8,
Coal mining,2003,M13,94.4,
Coal mining,2004,M01,99.8,
Coal mining,2004,M02,100.9,
Coal mining,2004,M03,101.3,
Coal mining,2004,M04,103.1,
Coal mining,2004,M05,103.5,
Coal mining,2004,M06,103.8,
Coal mining,2004,M07,104.4,
Coal mining,2004,M08,104.6,
Coal mining,2004,M09,106.5,
Coal mining,2004,M10,107.3,
Coal mining,2004,M11,107.2,
Coal mining,2004,M12,107.1,
Coal mining,2004,M13,104.1,
Coal mining,2005,M01,113.3,
Coal mining,2005,M02,114.1,
Coal mining,2005,M03,117.8,
Coal mining,2005,M04,119.1,
Coal mining,2005,M05,118.8,
Coal mining,2005,M06,118.6,
Coal mining,2005,M07,118.8,
Coal mining,2005,M08,118.8,
Coal mining,2005,M09,119.0,
Coal mining,2005,M10,119.5,
Coal mining,2005,M11,120.8,
Coal mining,2005,M12,120.0,
Coal mining,2005,M13,118.2,
Coal mining,2006,M01,126.1,
Coal mining,2006,M02,126.2,
Coal mining,2006,M03,127.0,
Coal mining,2006,M04,127.4,
Coal mining,2006,M05,127.5,
Coal mining,2006,M06,127.3,
Coal mining,2006,M07,126.8,
Coal mining,2006,M08,126.7,
Coal mining,2006,M09,127.2,
Coal mining,2006,M10,127.0,
Coal mining,2006,M11,126.6,
Coal mining,2006,M12,127.2,
Coal mining,2006,M13,126.9,
Coal mining,2007,M01,128.8,
Coal mining,2007,M02,129.8,
Coal mining,2007,M03,131.8,
Coal mining,2007,M04,131.4,
Coal mining,2007,M05,130.1,
Coal mining,2007,M06,130.4,
Coal mining,2007,M07,130.9,
Coal mining,2007,M08,130.4,
Coal mining,2007,M09,130.6,
Coal mining,2007,M10,130.4,
Coal mining,2007,M11,131.0,
Coal mining,2007,M12,131.7,
Coal mining,2007,M13,130.6,
Coal mining,2008,M01,138.1,
Coal mining,2008,M02,139.4,
Coal mining,2008,M03,141.8,
Coal mining,2008,M04,164.8,
Coal mining,2008,M05,165.5,
Coal mining,2008,M06,165.6,
